,Year,Species,No. Critically Endangered,No. Endangered,No. Vulnerable
162,2004,Reptiles,64,79,161
163,2004,Amphibians,413,729,628
164,2004,Fishes,171,160,470
165,2004,Insects,47,120,392
166,2004,Molluscs,265,221,488
167,2004,Other invertebrates,61,82,316
168,2004,Plants,1490,2239,4592
169,2004,Fungi & protists,1,1,0
170,2003,Mammals,184,337,609
171,2003,Birds,182,331,681
172,2003,Reptiles,57,78,158
173,2003,Amphibians,30,37,90
174,2003,Fishes,162,144,444
175,2003,Insects,46,118,389
176,2003,Molluscs,250,243,474
177,2003,Other invertebrates,61,76,302
178,2003,Plants,1276,1634,3864
179,2003,Fungi & protists,1,1,0
180,2002,Mammals,181,339,617
181,2002,Birds,182,326,684
182,2002,Reptiles,55,79,159
183,2002,Amphibians,30,37,90
184,2002,Fishes,157,143,442
185,2002,Insects,46,118,393
186,2002,Molluscs,222,236,481
187,2002,Other invertebrates,59,77,300
188,2002,Plants,1046,1291,3377
189,2002,Fungi & protists,0,0,0
190,2000,Mammals,180,340,610
191,2000,Birds,182,321,680
192,2000,Reptiles,56,74,161
193,2000,Amphibians,25,38,83
194,2000,Fishes,156,144,452
195,2000,Insects,45,118,392
196,2000,Molluscs,222,237,479
197,2000,Other invertebrates,59,76,300
198,2000,Plants,1014,1266,3331
199,2000,Fungi & protists,0,0,0
