,Species,Country,Latitude,Longitude,Number of endangered indigenous species,Total number of known species,Number of critically endangered indigenous species,Number of endangered species,Number of vulnerable species,Threatened species as % of known species,Total number of indigenous threatened species,Threatened indigenous species as % of indigenous spec.,Total number of indigenous known species,Total number of threatened species,Number of vulnerable indigenous species,Number of critically endangered species
698,Amphibians,Czech Republic,49.817492,15.472962,3.0,12.0,1.0,3.0,3.0,71.429,7.0,71.429,12.0,7.0,3.0,1.0
704,Amphibians,Denmark,56.26392,9.501785,4.0,15.0,1.0,4.0,1.0,6.667,5.0,6.667,15.0,5.0,1.0,1.0
713,Amphibians,Finland,61.92411,25.748151,1.0,7.0,,1.0,0.0,14.286,1.0,14.286,7.0,1.0,0.0,0.0
718,Amphibians,France,46.227638,2.213749,,35.0,,3.0,5.0,22.857,,,,8.0,,0.0
723,Amphibians,Germany,51.165691,10.451526,2.0,22.0,0.0,2.0,6.0,36.364,8.0,40.0,20.0,8.0,6.0,0.0
730,Amphibians,Greece,39.074208,21.824312,2.0,23.0,1.0,2.0,3.0,26.087,6.0,27.273,22.0,6.0,3.0,1.0
739,Amphibians,Hungary,47.162494,19.503304,1.0,18.0,,1.0,1.0,11.111,2.0,11.111,18.0,2.0,1.0,
746,Amphibians,Ireland,53.41291,-8.24389,1.0,3.0,,1.0,,33.333,1.0,33.333,3.0,1.0,,
751,Amphibians,Italy,41.87194,12.56738,,44.0,,4.0,10.0,31.818,,,,14.0,,0.0
756,Amphibians,Japan,36.204824,138.252924,,91.0,,5.0,22.0,38.158,,,,47.0,,20.0
761,Amphibians,Korea,,,2.0,21.0,0.0,2.0,3.0,25.0,2.0,,6.0,5.0,0.0,0.0
770,Amphibians,Luxembourg,49.815273,6.129583,,14.0,,1.0,1.0,28.571,,,,4.0,,2.0
775,Amphibians,Mexico,23.634501,-102.552784,13.0,413.0,0.0,15.0,43.0,12.349,49.0,16.667,267.0,58.0,36.0,0.0
784,Amphibians,Netherlands,52.132633,5.291266,2.0,16.0,2.0,2.0,3.0,43.75,7.0,43.75,16.0,7.0,3.0,2.0
789,Amphibians,New Zealand,-40.900557,174.885971,0.0,8.0,0.0,,,,1.0,25.0,4.0,,1.0,
794,Amphibians,Norway,60.472024,8.468946,,6.0,1.0,,,16.667,1.0,16.667,6.0,1.0,,1.0
799,Amphibians,Poland,51.919438,19.145136,,19.0,,0.0,,,,,19.0,,,
801,Amphibians,Portugal,39.399872,-8.224454,,20.0,,,2.0,10.0,2.0,11.765,17.0,2.0,2.0,
806,Amphibians,Slovak Republic,,,3.0,18.0,,3.0,5.0,44.444,8.0,44.444,18.0,8.0,5.0,
813,Amphibians,Spain,40.463667,-3.74922,2.0,39.0,1.0,2.0,6.0,23.077,9.0,,,9.0,6.0,1.0
821,Amphibians,Sweden,60.128161,18.643501,0.0,13.0,,0.0,5.0,38.462,5.0,38.462,13.0,5.0,5.0,
828,Amphibians,Switzerland,46.818188,8.227512,9.0,19.0,0.0,9.0,4.0,68.421,13.0,72.222,18.0,13.0,4.0,0.0
837,Amphibians,Turkey,38.963745,35.243322,,39.0,,,,7.092,,,,10.0,,
839,Amphibians,United Kingdom,55.378051,-3.435973,1.0,15.0,1.0,1.0,,,2.0,,9.0,2.0,,1.0
845,Amphibians,Chile,-35.675147,-71.542969,23.0,65.0,10.0,23.0,11.0,67.692,44.0,68.75,64.0,44.0,11.0,10.0
852,Amphibians,Estonia,58.595272,25.013607,2.0,11.0,,2.0,1.0,27.273,3.0,30.0,10.0,3.0,1.0,
859,Amphibians,Russia,61.52401,105.318756,,,,,,,,,,0.0,,
860,Amphibians,Slovenia,46.151241,14.995463,3.0,21.0,,3.0,14.0,80.952,17.0,80.952,21.0,17.0,14.0,
867,Vascular plants,Australia,-25.274398,133.775136,555.0,23968.0,198.0,555.0,588.0,6.647,1341.0,7.608,21020.0,1341.0,588.0,198.0
873,Vascular plants,Austria,47.516231,14.550072,348.0,2950.0,172.0,348.0,465.0,33.39,985.0,33.39,2950.0,985.0,465.0,172.0
882,Vascular plants,Belgium,50.503887,4.469936,107.0,1818.0,253.0,107.0,63.0,23.267,423.0,29.416,1438.0,423.0,63.0,253.0
891,Vascular plants,Canada,56.130366,-106.346771,325.0,5185.0,315.0,325.0,467.0,21.35,1107.0,28.605,3870.0,1107.0,467.0,315.0
898,Vascular plants,Czech Republic,49.817492,15.472962,412.0,2256.0,284.0,412.0,212.0,53.556,908.0,53.556,2256.0,908.0,212.0,284.0
904,Vascular plants,Denmark,56.26392,9.501785,101.0,2918.0,33.0,101.0,28.0,4.022,162.0,9.75,1139.0,162.0,28.0,33.0
913,Vascular plants,Finland,61.92411,25.748151,88.0,1240.0,31.0,88.0,78.0,15.887,197.0,21.413,920.0,197.0,78.0,31.0
922,Vascular plants,France,46.227638,2.213749,,4982.0,,132.0,238.0,8.45,,,,421.0,,51.0
926,Vascular plants,Germany,51.165691,10.451526,378.0,4305.0,212.0,378.0,820.0,27.384,1410.0,30.332,3880.0,1410.0,820.0,212.0
935,Vascular plants,Greece,39.074208,21.824312,,5850.0,,64.0,174.0,4.359,,,5700.0,255.0,,17.0
941,Vascular plants,Hungary,47.162494,19.503304,162.0,2721.0,115.0,162.0,105.0,14.039,382.0,15.701,2433.0,382.0,105.0,115.0
948,Vascular plants,Iceland,64.963051,-19.020835,,438.0,,,,11.872,,,,52.0,,
950,Vascular plants,Ireland,53.41291,-8.24389,25.0,1050.0,20.0,25.0,56.0,9.619,101.0,9.619,1050.0,101.0,56.0,20.0
959,Vascular plants,Italy,41.87194,12.56738,,8195.0,,269.0,169.0,6.748,,,,631.0,,193.0
964,Vascular plants,Japan,36.204824,138.252924,,7000.0,,529.0,741.0,25.514,,,,1790.0,,520.0
969,Vascular plants,Korea,,,20.0,4552.0,9.0,86.0,110.0,4.958,44.0,,457.0,224.0,15.0,28.0
